tiempos1,km/h1
787.6922,42.20
791.2846,31.77
793.8646,30.52
796.0864,24.66
806.8806,1.57
811.0285,24.81
818.6939,6.66
823.1077,11.35
827.0516,14.96
831.6982,16.60
835.8166,14.51
840.0368,11.69
844.0355,20.30
846.6706,21.08
849.7501,27.26
852.0931,28.89
853.5044,33.29
855.1590,35.74
859.4401,31.36
863.4027,35.24
865.9994,34.83
867.6844,37.83
869.5952,39.55
871.5907,41.31
877.0248,46.44
879.5080,43.74
880.9640,44.30
883.9988,41.32
886.1966,41.55
888.1696,40.74
889.9637,35.67
891.4161,33.89
891.5348,34.04
893.0495,28.35
894.4567,28.00
897.7452,58.42
897.8192,25.31
899.7194,21.93
902.2950,21.91
904.7247,16.39
908.1921,16.45
912.0694,21.93
913.9447,21.93
916.8370,27.56
919.0352,24.72
920.3568,27.41
922.0967,27.41
923.7450,31.59
925.2314,32.90
927.5996,34.12
929.3407,35.58
931.4930,34.77
932.6484,35.56
935.6158,47.80
937.1459,48.38
939.1759,39.09
940.8286,45.79
942.5108,48.70
944.4225,49.35
946.1827,51.62
948.6673,49.16
950.1708,54.85
951.9711,54.64
954.8312,54.87
957.1913,54.89
958.7559,49.83
960.1563,49.19
962.9908,54.81
964.0899,53.61
966.6711,54.39
968.9710,54.39
971.1004,49.33
971.8559,49.35
973.0773,49.86
974.9307,54.84
977.7395,75.06
978.9539,48.06
980.7894,49.39
983.3226,49.36
984.9229,49.36
986.3871,52.62
988.7670,49.36
990.6807,54.83
992.8226,49.38
994.3110,54.83
995.3309,54.85
997.4208,54.84
999.1004,49.35
1000.4039,52.19
1003.1410,54.84
1004.2210,54.84
1007.2285,60.34
1008.9450,58.83
1009.8924,62.35
1011.9107,60.32
1014.5505,54.26
1015.7939,57.51
1016.8739,60.30
1018.1367,56.96
1020.0106,54.77
1021.8408,54.84
1022.8295,56.28
1025.1669,49.35
1026.7558,49.05
1028.0886,45.86
1030.0124,43.86
1031.8120,43.94
1033.6001,37.78
1035.7648,32.92
1037.3163,27.59
1039.7169,27.47
1041.6949,21.92
1045.0247,14.26
1048.7316,10.89
1055.1446,7.58
1058.7926,16.24
1059.3091,27.13
1061.8436,31.07
1064.0649,32.90
1070.5569,27.41
1073.1547,29.25
1075.8649,32.29
1079.3767,27.41
1081.3565,27.47
1083.3568,27.47
1085.3761,27.60
1087.7371,27.55
1091.6370,27.41
1093.8167,27.40
1095.1178,27.48
1097.8575,27.44
1100.0564,27.60
1101.8951,21.93
1104.7698,21.93
1106.6952,21.93
1108.7689,22.07
1111.4579,16.45
1115.3656,4.88
1132.2847,10.97
1132.9374,23.53
1136.4913,16.43
1139.6382,13.92
1142.8582,16.45
1145.8109,19.87
1150.3445,21.93
1153.6411,19.58
1157.6943,21.93
1159.8448,21.93
1162.9123,17.17
1165.6576,17.14
1171.9575,27.49
1173.8564,27.41
1175.9820,32.34
1177.5315,32.95
1179.9816,32.90
1181.8151,32.90
1184.5649,32.89
1186.8149,32.90
1189.3313,32.90
1192.0481,32.90
1195.6326,30.39
1199.2809,33.05
1201.5937,22.38
1205.1970,27.41
1208.7373,28.02
1210.8978,28.69
1213.6567,27.41
1216.3167,27.41
1219.5269,30.14
1221.9362,27.24
1224.8882,24.22
1229.7847,10.97
1229.8179,10.06
1240.3667,8.03
1244.8237,20.56
1248.6706,29.51
1251.2149,29.51
1253.3706,38.57
1255.6982,37.10
1258.3985,38.98
1260.5255,40.49
1262.6356,42.31
1267.4644,33.34
1268.9484,36.29
1271.1274,38.36
1273.3985,38.83
1276.5119,43.42
1279.2045,41.94
1281.2107,42.50
1285.2363,52.24
1287.3120,43.86
1289.7201,45.58
1291.3866,44.47
1292.7748,43.86
1294.4121,43.85
1296.8087,45.56
1298.3781,49.35
1299.7313,48.24
1302.4084,51.62
1303.5313,54.86
1304.5212,54.95
1306.7801,52.32
1309.1894,49.20
1311.0508,54.39
1312.7315,54.92
1314.2103,56.22
1316.2007,58.12
1318.8741,60.29
1321.9363,53.42
1323.3909,54.83
1327.5809,54.84
1329.5543,62.46
1330.6697,53.33
1331.8904,54.77
1334.5608,58.64
1336.8133,51.79
1337.9797,53.52
1338.9386,48.23
1341.9111,49.37
1342.7447,49.35
1344.3232,49.50
1346.9003,49.35
1349.1561,48.80
1351.4447,49.99
1353.0045,45.66
1354.6996,43.86
1356.2559,49.43
1358.0120,47.63
1360.0886,45.87
1361.0872,43.86
1363.8449,49.33
1365.2910,60.44
1365.3449,49.35
1366.5780,49.37
1367.8388,52.87
1369.5795,52.81
1371.0458,49.33
1373.3106,51.18
1375.2182,53.56
1376.3108,54.78
1377.9978,52.72
1380.3230,49.95
1381.8535,52.50
1383.2408,54.85
1385.1008,54.83
1386.0448,49.36
1387.6339,49.33
1390.2589,53.54
1391.5542,48.05
1393.9893,49.35
1395.5211,54.84
1397.5710,54.99
1400.0873,43.86
1402.0121,43.86
1403.0374,43.86
1406.0526,42.47
1406.9560,38.38
1410.9421,38.38
1413.9564,41.70
1417.1130,38.36
1419.2316,39.76
1420.3372,43.86
1421.6618,44.03
1424.2992,38.41
1428.0705,38.39
1429.5400,39.93
1430.3299,41.64
1433.1991,38.34
1435.3136,38.38
1437.6344,37.75
1438.8709,38.38
1440.7704,38.38
1442.7161,33.37
1445.1562,38.38
1447.0274,38.38
1448.9962,32.17
1450.9293,36.36
1452.9312,32.90
1456.0648,32.90
1458.5768,27.40
1460.7367,27.47
1462.3488,23.21
1464.5686,24.58
1466.2688,13.92
1469.2319,11.04
1477.4501,18.55
1479.6574,27.60
1482.7131,35.00
1484.7531,40.50
1487.9831,36.99
1489.6840,37.93
1492.1704,38.38
1494.2875,44.04
1496.0562,49.55
1497.9116,49.35
1499.9331,48.80
1503.5748,43.86
1504.9873,43.86
1506.5380,45.09
1507.9929,45.55
1509.1014,47.58
1511.7505,43.83
1513.3676,49.40
1515.2561,49.35
1517.7783,49.35
1519.6002,49.50
1521.4777,49.42
1524.5696,38.48
1527.9811,32.71
1530.4558,27.41
1538.1944,4.41
1547.0512,20.59
1548.4850,10.94
1551.4346,10.98
1555.6245,16.45
1558.1439,21.33
1560.8447,21.93
1564.5487,23.78
1567.5182,21.91
1569.5696,21.93
1572.3450,21.91
1575.5198,18.13
1577.7245,16.40
1580.8843,10.97
1584.4862,10.94
1586.8913,16.45
1589.6095,17.61
1592.7379,27.48
1594.9149,29.52
1597.0374,27.34
1599.0649,33.08
1601.0649,32.90
1601.9470,38.80
1607.7515,14.06
1609.7568,16.28
1620.2926,15.85
1622.9237,18.26
1625.6485,49.17
1626.1948,21.92
1628.1382,29.86
1632.2573,27.23
1634.8974,29.87
1637.8649,32.90
1641.1481,32.90
1643.1987,32.86
1646.1979,32.89
1647.8483,32.91
